index,lab,univ,name
105,IT미디어공학과 박태정 교수 연구실,덕성여자대학교,박태정 교수
106,커뮤니케이션 대학원 박효신 교수 연구실,연세대학교,박효신 교수
107,인터랙션디자인랩,국민대학교,반영환 교수
108,게임학부 배병철 교수 연구실,홍익대학교,배병철 교수
109,IPIS,중앙대학교,백준기 교수
110,HCC Lab,서울대학교,서봉원 교수
111,영상대학원 서용덕 교수 연구실,서강대학교,서용덕 교수
112,로봇 지능 및 제어 연구실,한양대학교,서일홍 교수
113,자연어 처리 연구실,서강대학교,서정연 교수
114,HCI Lab,서울대학교,서진욱 교수
115,My Design Lab,KAIST(한국과학기술원),석다니엘 교수
116,Color Lab,KAIST (한국과학기술원),석현정 교수
117,심리학과 성용준 교수 연구실,고려대학교,성용준 교수
118,Cross Design Lab,숭실대학교,성정환 교수
119,가상현실 연구실,중앙대학교,손봉수 교수
120,GVE Lab (Graphics and Virtual Environment Lab),한림대학교,송창근 교수
121,인문사회과학부 시정공 교수 연구실,KAIST(한국과학기술원),시정곤 교수
122,Media Lab,인하대학교,신병석 교수
123,소프트웨어학과 신승훈 교수 연구실,아주대학교,신승훈 교수
124,Healthcare Solution Laboratory,전남대학교,신항식 교수
125,BCI Lab,한동대학교,안민규 교수
126,디자인컨버전스학부 안성희 교수 연구실,홍익대학교,안성희 교수
127,KISLAB,국민대학교,안현철 교수
128,바이오메디컬공학부 양윤석 교수 연구실,전북대학교,양윤석 교수
129,HDSL,서울미디어대학원대학교,양장훈 교수
130,제품서비스시스템랩,국민대학교,연명흠 교수
131,육아교육과 연혜민 교수 연구실,동명대학교,연혜민 교수
132,디자인엔지니어링학과 오광명 교수 연구실,인제대학교,오광명 교수
133,전자전기공학과 오세영 교수 연구실,포항공과대학교,오세영 교수
134,HCIL@Ewha,이화여자대학교,오유란 교수
135,미래지능형 컴퓨팅 연구실,대구대학교,오유수 교수
136,재무금융과 오지열 교수 연구실,한양대학교,오지열 교수
137,DILAB,군산대학교,온병원 교수
138,UVR Lab,KAIST (한국과학기술원),우운택 교수
139,기계제어공학과 우태호 교수 연구실,고려사이버대학교,우태호 교수
140,CO:UX DESIGN Lab,고려대학교,유승헌 교수
141,영상문화학과 유승호 교수 연구실,강원대학교,유승호 교수
142,Intelligent Robot Lab,서울시립대학교,유하진 교수
